station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
0CO,9/1/2023 0:15,48.2,26.6,42.73,280,16,0,30.64,,10,,CLR,,,,,,,,,,,,,,,41.53,K0CO 010615Z AUTO 28016KT 10SM CLR 09/M03 A3064 RMK AO2,
0CO,9/1/2023 0:35,48.2,24.8,39.66,280,11,0,30.64,,10,,CLR,,,,,,,,,,,,,,,42.94,K0CO 010635Z AUTO 28011KT 10SM CLR 09/M04 A3064 RMK AO2,
0CO,9/1/2023 0:55,46.4,23,39.36,270,12,0,30.64,,10,17,CLR,,,,,,,,,,,,,,,40.33,K0CO 010655Z AUTO 27012G17KT 10SM CLR 08/M05 A3064 RMK AO2,
0CO,9/1/2023 1:15,46.4,23,39.36,260,7,0,30.65,,10,,CLR,,,,,,,,,,,,,,,42.33,K0CO 010715Z AUTO 26007KT 221V281 10SM CLR 08/M05 A3065 RMK AO2,
0CO,9/1/2023 1:35,46.4,23,39.36,270,10,0,30.64,,10,15,CLR,,,,,,,,,,,,,,,41.03,K0CO 010735Z AUTO 27010G15KT 10SM CLR 08/M05 A3064 RMK AO2,
0CO,9/1/2023 1:55,46.4,23,39.36,270,7,0,30.64,,10,16,CLR,,,,,,,,,,,,,,,42.33,K0CO 010755Z AUTO 27007G16KT 10SM CLR 08/M05 A3064 RMK AO2,
0CO,9/1/2023 2:15,48.2,23,36.78,270,9,0,30.64,,10,15,CLR,,,,,,,,,,,,,,,43.66,K0CO 010815Z AUTO 27009G15KT 10SM CLR 09/M05 A3064 RMK AO2,
0CO,9/1/2023 2:35,48.2,23,36.78,260,11,0,30.64,,10,14,CLR,,,,,,,,,,,,,,,42.94,K0CO 010835Z AUTO 26011G14KT 10SM CLR 09/M05 A3064 RMK AO2,
0CO,9/1/2023 2:55,46.4,23,39.36,240,8,0,30.63,,10,,CLR,,,,,,,,,,,,,,,41.85,K0CO 010855Z AUTO 24008KT 10SM CLR 08/M05 A3063 RMK AO2,
0CO,9/1/2023 3:14,46.4,23,39.36,230,8,0,30.64,,10,,CLR,,,,,,,,,,,,,,,41.85,K0CO 010914Z AUTO 23008KT 10SM CLR 08/M05 A3064 RMK AO2,
0CO,9/1/2023 3:35,46.4,23,39.36,240,11,0,30.64,,10,,CLR,,,,,,,,,,,,,,,40.66,K0CO 010935Z AUTO 24011KT 10SM CLR 08/M05 A3064 RMK AO2,
0CO,9/1/2023 3:55,46.4,23,39.36,230,7,0,30.64,,10,,CLR,,,,,,,,,,,,,,,42.33,K0CO 010955Z AUTO 23007KT 10SM CLR 08/M05 A3064 RMK AO2,
0CO,9/1/2023 4:15,46.4,24.8,42.44,240,9,0,30.64,,10,14,CLR,,,,,,,,,,,,,,,41.42,K0CO 011015Z AUTO 24009G14KT 10SM CLR 08/M04 A3064 RMK AO2,
0CO,9/1/2023 4:35,46.4,24.8,42.44,230,6,0,30.64,,10,,CLR,,,,,,,,,,,,,,,42.87,K0CO 011035Z AUTO 23006KT 10SM CLR 08/M04 A3064 RMK AO2,
0CO,9/1/2023 4:55,46.4,24.8,42.44,240,6,0,30.64,,10,,CLR,,,,,,,,,,,,,,,42.87,K0CO 011055Z AUTO 24006KT 10SM CLR 08/M04 A3064 RMK AO2,
0CO,9/1/2023 5:15,46.4,23,39.36,260,6,0,30.64,,10,,CLR,,,,,,,,,,,,,,,42.87,K0CO 011115Z AUTO 26006KT 10SM CLR 08/M05 A3064 RMK AO2,
0CO,9/1/2023 5:35,46.4,23,39.36,240,7,0,30.65,,10,15,CLR,,,,,,,,,,,,,,,42.33,K0CO 011135Z AUTO 24007G15KT 10SM CLR 08/M05 A3065 RMK AO2,
0CO,9/1/2023 5:55,46.4,21.2,36.48,280,13,0,30.65,,10,18,CLR,,,,,,,,,,,,,,,40.02,K0CO 011155Z AUTO 28013G18KT 10SM CLR 08/M06 A3065 RMK AO2,
0CO,9/1/2023 6:15,46.4,21.2,36.48,280,16,0,30.64,,10,,CLR,,,,,,,,,,,,,,,39.19,K0CO 011215Z AUTO 28016KT 10SM CLR 08/M06 A3064 RMK AO2,
0CO,9/1/2023 6:35,46.4,21.2,36.48,280,12,0,30.65,,10,17,CLR,,,,,,,,,,,,,,,40.33,K0CO 011235Z AUTO 28012G17KT 10SM CLR 08/M06 A3065 RMK AO2,
0CO,9/1/2023 6:55,46.4,21.2,36.48,280,13,0,30.66,,10,18,CLR,,,,,,,,,,,,,,,40.02,K0CO 011255Z AUTO 28013G18KT 10SM CLR 08/M06 A3066 RMK AO2,
0CO,9/1/2023 7:15,46.4,23,39.36,310,7,0,30.67,,10,,CLR,,,,,,,,,,,,,,,42.33,K0CO 011315Z AUTO 31007KT 10SM CLR 08/M05 A3067 RMK AO2,
0CO,9/1/2023 7:35,46.4,23,39.36,290,14,0,30.67,,10,,CLR,,,,,,,,,,,,,,,39.72,K0CO 011335Z AUTO 29014KT 10SM CLR 08/M05 A3067 RMK AO2,
0CO,9/1/2023 7:55,46.4,23,39.36,300,9,0,30.68,,10,,CLR,,,,,,,,,,,,,,,41.42,K0CO 011355Z AUTO 30009KT 10SM CLR 08/M05 A3068 RMK AO2,
0CO,9/1/2023 8:15,48.2,23,36.78,310,7,0,30.68,,10,,CLR,,,,,,,,,,,,,,,44.53,K0CO 011415Z AUTO 31007KT 10SM CLR 09/M05 A3068 RMK AO2,
0CO,9/1/2023 8:35,48.2,26.6,42.73,350,4,0,30.68,,10,,CLR,,,,,,,,,,,,,,,46.34,K0CO 011435Z AUTO 35004KT 10SM CLR 09/M03 A3068 RMK AO2,
0CO,9/1/2023 8:55,50,26.6,39.95,330,5,0,30.68,,10,,CLR,,,,,,,,,,,,,,,50,K0CO 011455Z AUTO 33005KT 10SM CLR 10/M03 A3068 RMK AO2,
0CO,9/1/2023 9:15,48.2,26.6,42.73,320,6,0,30.69,,10,,CLR,,,,,,,,,,,,,,,45.04,K0CO 011515Z AUTO 32006KT 10SM CLR 09/M03 A3069 RMK AO2,
0CO,9/1/2023 9:35,48.2,28.4,46.02,330,6,0,30.69,,10,15,CLR,,,,,,,,,,,,,,,45.04,K0CO 011535Z AUTO 33006G15KT 10SM CLR 09/M02 A3069 RMK AO2,
0CO,9/1/2023 9:55,50,30.2,46.31,340,6,0,30.71,,10,15,CLR,,,,,,,,,,,,,,,50,K0CO 011555Z AUTO 34006G15KT 10SM CLR 10/M01 A3071 RMK AO2,
0CO,9/1/2023 10:15,53.6,26.6,34.98,250,9,0,30.71,,10,16,CLR,,,,,,,,,,,,,,,53.6,K0CO 011615Z AUTO 25009G16KT 10SM CLR 12/M03 A3071 RMK AO2,
0CO,9/1/2023 10:35,53.6,28.4,37.67,250,4,0,30.71,,10,16,CLR,,,,,,,,,,,,,,,53.6,K0CO 011635Z AUTO 25004G16KT 10SM CLR 12/M02 A3071 RMK AO2,
0CO,9/1/2023 10:55,50,32,49.81,300,7,0,30.71,,10,23,SCT,,,,6500,,,,,,,,,,,50,K0CO 011655Z AUTO 30007G23KT 10SM SCT065 10/00 A3071 RMK AO2,
0CO,9/1/2023 11:15,50,30.2,46.31,300,11,0,30.71,,10,24,SCT,,,,6500,,,,,,,,,,,50,K0CO 011715Z AUTO 30011G24KT 261V331 10SM SCT065 10/M01 A3071 RMK AO2,
0CO,9/1/2023 11:35,50,32,49.81,350,6,0,30.71,,10,,SCT,SCT,,,6500,8000,,,,,,,,,,50,K0CO 011735Z AUTO 35006KT 10SM SCT065 SCT080 10/00 A3071 RMK AO2,
0CO,9/1/2023 11:55,51.8,32,46.59,330,6,0,30.72,,10,,SCT,SCT,,,6500,8000,,,,,,,,,,51.8,K0CO 011755Z AUTO 33006KT 10SM SCT065 SCT080 11/00 A3072 RMK AO2,
0CO,9/1/2023 12:15,51.8,32,46.59,330,8,0,30.71,,10,,SCT,SCT,,,8000,8500,,,,,,,,,,51.8,K0CO 011815Z AUTO 33008KT 301V061 10SM SCT080 SCT085 11/00 A3071 RMK AO2,
0CO,9/1/2023 12:35,51.8,32,46.59,40,4,0,30.71,,10,,BKN,BKN,BKN,,6500,7500,8500,,,,,,,,,51.8,K0CO 011835Z AUTO 04004KT 10SM BKN065 BKN075 BKN085 11/00 A3071 RMK AO2,
0CO,9/1/2023 12:55,53.6,30.2,40.54,200,4,0,30.71,,10,14,BKN,BKN,BKN,,6500,7500,8500,,,,,,,,,53.6,K0CO 011855Z AUTO 20004G14KT 10SM BKN065 BKN075 BKN085 12/M01 A3071 RMK AO2,
0CO,9/1/2023 13:15,55.4,30.2,37.97,230,6,0,30.71,,10,15,SCT,BKN,BKN,,6500,8000,9000,,,,,,,,,55.4,K0CO 011915Z AUTO 23006G15KT 141V281 10SM SCT065 BKN080 BKN090 13/M01 A3071 RMK AO2,
0CO,9/1/2023 13:35,57.2,32,38.26,220,5,0,30.71,,10,16,SCT,SCT,SCT,,6500,8000,9000,,,,,,,,,57.2,K0CO 011935Z AUTO 22005G16KT 10SM SCT065 SCT080 SCT090 14/00 A3071 RMK AO2,
0CO,9/1/2023 13:55,59,30.2,33.35,170,6,0,30.71,,10,21,SCT,SCT,,,6500,7500,,,,,,,,,,59,K0CO 011955Z AUTO 17006G21KT 10SM SCT065 SCT075 15/M01 A3071 RMK AO2,
0CO,9/1/2023 14:15,57.2,28.4,33.05,150,12,0,30.71,,10,23,SCT,SCT,,,8000,10000,,,,,,,,,,57.2,K0CO 012015Z AUTO 15012G23KT 10SM SCT080 SCT100 14/M02 A3071 RMK AO2,
