"","station","valid","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","Date","Time","Hour","tmpc","dwpc","sms","p01mm","altmb","gustms"
"1","0CO",2023-09-01 00:55:00,46.4,23,39.36,270,12,0,30.64,NA,10,17,"CLR",2023-09-01,"00:55","2023/09/01 00",8.66666666666667,-4,6.687772,0,859.016935823826,NA
"2","0CO",2023-09-01 01:55:00,46.4,23,39.36,270,7,0,30.64,NA,10,16,"CLR",2023-09-01,"01:55","2023/09/01 01",8,-5,4.115552,0,859.110388493084,NA
"3","0CO",2023-09-01 02:55:00,46.4,23,39.36,240,8,0,30.63,NA,10,NA,"CLR",2023-09-01,"02:55","2023/09/01 02",8.66666666666667,-5,4.80147733333333,0,858.923483154567,NA
"4","0CO",2023-09-01 03:55:00,46.4,23,39.36,230,7,0,30.64,NA,10,NA,"CLR",2023-09-01,"03:55","2023/09/01 03",8,-5,4.45851466666667,0,859.016935823826,NA
"5","0CO",2023-09-01 04:55:00,46.4,24.8,42.44,240,6,0,30.64,NA,10,NA,"CLR",2023-09-01,"04:55","2023/09/01 04",8,-4,3.601108,0,859.016935823826,NA
"6","0CO",2023-09-01 05:55:00,46.4,21.2,36.48,280,13,0,30.65,NA,10,18,"CLR",2023-09-01,"05:55","2023/09/01 05",8,-5.33333333333333,4.45851466666667,0,859.203841162342,NA
"7","0CO",2023-09-01 06:55:00,46.4,21.2,36.48,280,13,0,30.66,NA,10,18,"CLR",2023-09-01,"06:55","2023/09/01 06",8,-6,7.03073466666667,0,859.297293831601,NA
"8","0CO",2023-09-01 07:55:00,46.4,23,39.36,300,9,0,30.68,NA,10,NA,"CLR",2023-09-01,"07:55","2023/09/01 07",8,-5,5.14444,0,859.95146251641,NA
"9","0CO",2023-09-01 08:55:00,50,26.6,39.95,330,5,0,30.68,NA,10,NA,"CLR",2023-09-01,"08:55","2023/09/01 08",9.33333333333333,-3.66666666666667,2.74370133333333,0,860.138367854927,NA
"10","0CO",2023-09-01 09:55:00,50,30.2,46.31,340,6,0,30.71,NA,10,15,"CLR",2023-09-01,"09:55","2023/09/01 09",9.33333333333333,-2,3.086664,0,860.605631201219,NA
"11","0CO",2023-09-01 10:55:00,50,32,49.81,300,7,0,30.71,NA,10,23,"SCT",2023-09-01,"10:55","2023/09/01 10",11.3333333333333,-1.66666666666667,3.42962666666667,0,860.979441878253,11.832212
"12","0CO",2023-09-01 11:55:00,51.8,32,46.59,330,6,0,30.72,NA,10,NA,"SCT",2023-09-01,"11:55","2023/09/01 11",10.3333333333333,-0.333333333333333,3.94407066666667,0,861.072894547512,NA
"13","0CO",2023-09-01 12:55:00,53.6,30.2,40.54,200,4,0,30.71,NA,10,14,"BKN",2023-09-01,"12:55","2023/09/01 12",11.3333333333333,-0.333333333333333,2.74370133333333,0,860.979441878253,NA
"14","0CO",2023-09-01 13:55:00,59,30.2,33.35,170,6,0,30.71,NA,10,21,"SCT",2023-09-01,"13:55","2023/09/01 13",14,-0.666666666666667,2.91518266666667,0,860.979441878253,10.803324
"15","0CO",2023-09-01 14:55:00,55.4,28.4,35.28,150,14,0,30.7,NA,10,NA,"SCT",2023-09-01,"14:55","2023/09/01 14",13.3333333333333,-1.66666666666667,6.34480933333333,0,860.885989208995,NA
"16","0CO",2023-09-01 15:55:00,53.6,28.4,37.67,NA,NA,0,30.7,NA,10,NA,"SCT",2023-09-01,"15:55","2023/09/01 15",12.3333333333333,-2,NA,0,860.792536539736,NA
"17","0CO",2023-09-01 16:55:00,57.2,26.6,30.69,170,15,0,30.69,NA,10,28,"SCT",2023-09-01,"16:55","2023/09/01 16",13.3333333333333,-2.33333333333333,6.51629066666667,0,860.605631201219,NA
"18","0CO",2023-09-01 17:55:00,55.4,26.6,32.76,170,17,0,30.69,NA,10,36,"CLR",2023-09-01,"17:55","2023/09/01 17",13,-3.33333333333333,9.94591733333333,0,860.231820524186,18.519984
"19","0CO",2023-09-01 18:55:00,53.6,28.4,37.67,170,12,0,30.68,NA,10,29,"BKN",2023-09-01,"18:55","2023/09/01 18",12,-2.66666666666667,8.57406666666667,0,860.231820524186,16.462208
"20","0CO",2023-09-01 19:55:00,51.8,30.2,43.32,0,0,0,30.7,NA,10,NA,"SCT",2023-09-01,"19:55","2023/09/01 19",10.6666666666667,-1.33333333333333,3.94407066666667,0,860.605631201219,NA
"21","0CO",2023-09-01 20:55:00,51.8,30.2,43.32,170,13,0,30.72,NA,10,17,"BKN",2023-09-01,"20:55","2023/09/01 20",11,-0.666666666666667,3.086664,0,861.072894547512,NA
"22","0CO",2023-09-01 21:55:00,50,32,49.81,10,5,0,30.72,NA,10,NA,"SCT",2023-09-01,"21:55","2023/09/01 21",10.6666666666667,-1,2.40073866666667,0,861.16634721677,NA
"23","0CO",2023-09-01 22:55:00,46.4,32,57,360,6,0,30.72,NA,10,NA,"CLR",2023-09-01,"22:55","2023/09/01 22",8.33333333333333,0,3.086664,0,861.259799886029,NA
"24","0CO",2023-09-01 23:55:00,50,30.2,46.31,0,0,0,30.73,NA,10,NA,"SCT",2023-09-01,"23:55","2023/09/01 23",9.66666666666667,-0.666666666666667,1.028888,0,861.353252555287,NA
