,station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,Date,Time,Hour,tmpc,dwpc,sms,p01mm,fresh_SWE_m,fresh_density,fresh_depth,old_swe_m,old_density,old_depth,swe f+o,depth f+o,density f+o,altmb,gustms,precip_type,undercatch,adj_precip,undercatch_loss,cum_undercatch_loss
1,0CO,9/1/2023 0:55,46.4,23,39.36,270,12,0,30.64,NA,10,17,CLR,9/1/2023,0:55,2023/09/01 00,8.666666667,-4,6.687772,0,0,0,0,0,0,0,0,0,0,859.0169358,NA,snow,0.345394741,1.025190792,0.263190792,0.263190792
2,0CO,9/1/2023 1:55,46.4,23,39.36,270,7,0,30.64,NA,10,16,CLR,9/1/2023,1:55,2023/09/01 01,8,-5,4.115552,0,0,0,0,0,0,0,0,0,0,859.1103885,NA,snow,0.621466224,0,0,0.263190792
3,0CO,9/1/2023 2:55,46.4,23,39.36,240,8,0,30.63,NA,10,NA,CLR,9/1/2023,2:55,2023/09/01 02,8.666666667,-5,4.801477333,0,0,0,0,0,0,0,0,0,0,858.9234832,NA,snow,NA,0,0,0.263190792
4,0CO,9/1/2023 3:55,46.4,23,39.36,230,7,0,30.64,NA,10,NA,CLR,9/1/2023,3:55,2023/09/01 03,8,-5,4.458514667,0,0,0,0,0,0,0,0,0,0,859.0169358,NA,snow,NA,0,0,0.263190792
5,0CO,9/1/2023 4:55,46.4,24.8,42.44,240,6,0,30.64,NA,10,NA,CLR,9/1/2023,4:55,2023/09/01 04,8,-4,3.601108,0,0,0,0,0,0,0,0,0,0,859.0169358,NA,snow,0.380186112,0,0,0.263190792
6,0CO,9/1/2023 5:55,46.4,21.2,36.48,280,13,0,30.65,NA,10,18,CLR,9/1/2023,5:55,2023/09/01 05,8,-5.333333333,4.458514667,0,0,0,0,0,0,0,0,0,0,859.2038412,NA,snow,0.495140774,0,0,0.263190792
7,0CO,9/1/2023 6:55,46.4,21.2,36.48,280,13,0,30.66,NA,10,18,CLR,9/1/2023,6:55,2023/09/01 06,8,-6,7.030734667,0,0,0,0,0,0,0,0,0,0,859.2972938,NA,snow,0.345394741,0,0,0.263190792
8,0CO,9/1/2023 7:55,46.4,23,39.36,300,9,0,30.68,NA,10,NA,CLR,9/1/2023,7:55,2023/09/01 07,8,-5,5.14444,0,0,0,0,0,0,0,0,0,0,859.9514625,NA,snow,0.578569901,0,0,0.263190792
9,0CO,9/1/2023 8:55,50,26.6,39.95,330,5,0,30.68,NA,10,NA,CLR,9/1/2023,8:55,2023/09/01 08,9.333333333,-3.666666667,2.743701333,0,0,0,0,0,0,0,0,0,0,860.1383679,NA,snow,0.416845614,0,0,0.263190792
10,0CO,9/1/2023 9:55,50,30.2,46.31,340,6,0,30.71,NA,10,15,CLR,9/1/2023,9:55,2023/09/01 09,9.333333333,-2,3.086664,0,0,0,0,0,0,0,0,0,0,860.6056312,NA,snow,NA,0,0,0.263190792
11,0CO,9/1/2023 10:55,50,32,49.81,300,7,0,30.71,NA,10,23,SCT,9/1/2023,10:55,2023/09/01 10,11.33333333,-1.666666667,3.429626667,0,0,0,0,0,0,0,0,0,0,860.9794419,11.832212,snow,NA,0,0,0.263190792
12,0CO,9/1/2023 11:55,51.8,32,46.59,330,6,0,30.72,NA,10,NA,SCT,9/1/2023,11:55,2023/09/01 11,10.33333333,-0.333333333,3.944070667,0,0,0,0,0,0,0,0,0,0,861.0728945,NA,snow,0.643049852,7.512023924,2.940023924,3.203214717
13,0CO,9/1/2023 12:55,53.6,30.2,40.54,200,4,0,30.71,NA,10,14,BKN,9/1/2023,12:55,2023/09/01 12,11.33333333,-0.333333333,2.743701333,0,0,0,0,0,0,0,0,0,0,860.9794419,NA,snow,0.729021678,0,0,3.203214717
14,0CO,9/1/2023 13:55,59,30.2,33.35,170,6,0,30.71,NA,10,21,SCT,9/1/2023,13:55,2023/09/01 13,14,-0.666666667,2.915182667,0,0,0,0,0,0,0,0,0,0,860.9794419,10.803324,snow,0.643049852,0,0,3.203214717
