"","X","station","valid","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","Date","Time","Hour","tmpc","dwpc","sms","p01mm","altmb","gustms","precip_type","undercatch","adj_precip","undercatch_loss","cum_undercatch_loss"
"1",1007,"0CO","2023-10-13 00:55:00",15.8,12.2,85.4,360,14,0.01,30.06,NA,NA,27,"OVC","2023-10-13","00:55","2023/10/13 00",-9,-10.3333333333333,6.51629066666667,0.762,842.662718703594,16.462208,"snow",0.345394740700957,1.02519079241413,0.26319079241413,0.26319079241413
"2",1008,"0CO","2023-10-13 01:55:00",15.8,12.2,85.4,330,11,0,30.09,NA,NA,NA,"OVC","2023-10-13","01:55","2023/10/13 01",-9,-10.6666666666667,4.115552,0,843.50379272692,NA,"snow",0.621466223535174,0,0,0.26319079241413
"3",1009,"0CO","2023-10-13 02:55:00",14,12.2,92.38,350,17,0,30.08,NA,NA,31,"OVC","2023-10-13","02:55","2023/10/13 02",-10,-11,NA,0,843.410340057662,NA,"snow",NA,0,0,0.26319079241413
"4",1010,"0CO","2023-10-13 03:55:00",14,12.2,92.38,360,14,0,30.1,NA,NA,33,"OVC","2023-10-13","03:55","2023/10/13 03",-10,-11,NA,0,843.690698065437,NA,"snow",NA,0,0,0.26319079241413
"5",1011,"0CO","2023-10-13 04:55:00",14,12.2,92.38,360,6,0,30.11,NA,NA,24,"OVC","2023-10-13","04:55","2023/10/13 04",-10,-11.3333333333333,6.173328,0,843.971056073212,14.404432,"snow",0.38018611236122,0,0,0.26319079241413
"6",1012,"0CO","2023-10-13 05:55:00",14,10.4,85.28,350,14,0,30.13,NA,NA,27,"OVC","2023-10-13","05:55","2023/10/13 05",-10,-11.6666666666667,5.14444,0,844.531772088763,13.889988,"snow",0.495140773875742,0,0,0.26319079241413
"7",1013,"0CO","2023-10-13 06:55:00",14,10.4,85.28,360,7,0,30.14,NA,NA,23,"OVC","2023-10-13","06:55","2023/10/13 06",-10,-12,6.51629066666667,0,844.999035435055,12.8611,"snow",0.345394740700957,0,0,0.26319079241413
"8",1014,"0CO","2023-10-13 07:55:00",12.2,10.4,92.32,340,7,0,30.16,NA,NA,24,"OVC","2023-10-13","07:55","2023/10/13 07",-11,-12,4.45851466666667,0,845.279393442831,12.8611,"snow",0.578569901353451,0,0,0.26319079241413
"9",1015,"0CO","2023-10-13 08:55:00",12.2,10.4,92.32,320,15,0,30.19,NA,NA,24,"OVC","2023-10-13","08:55","2023/10/13 08",-11,-12,5.83036533333333,0,846.213920135416,12.346656,"snow",0.416845613853908,0,0,0.26319079241413
"10",1016,"0CO","2023-10-13 09:55:00",14,10.4,85.28,NA,NA,0,30.2,NA,NA,NA,"OVC","2023-10-13","09:55","2023/10/13 09",-10.3333333333333,-12,NA,0,846.587730812449,NA,"snow",NA,0,0,0.26319079241413
"11",1017,"0CO","2023-10-13 10:55:00",14,12.2,92.38,310,8,0,30.23,NA,0.25,14,"OVC","2023-10-13","10:55","2023/10/13 10",-10,-11,NA,0,847.241899497259,NA,"snow",NA,0,0,0.26319079241413
"12",1018,"0CO","2023-10-13 11:55:00",15.8,14,92.44,320,8,0.02,30.24,NA,0.25,NA,"OVC","2023-10-13","11:55","2023/10/13 11",-9.33333333333333,-10.3333333333333,3.94407066666667,4.572,847.802615512809,NA,"snow",0.643049852219287,7.51202392434658,2.94002392434658,3.20321471676071
"13",1019,"0CO","2023-10-13 12:55:00",17.6,15.8,92.5,300,11,0,30.25,NA,0.25,17,"OVC","2023-10-13","12:55","2023/10/13 12",-8,-9.33333333333333,3.25814533333333,0,847.989520851326,NA,"snow",0.729021677747482,0,0,3.20321471676071
"14",1020,"0CO","2023-10-13 13:55:00",19.4,17.6,92.57,280,8,0,30.27,NA,2,NA,"CLR","2023-10-13","13:55","2023/10/13 13",-7.33333333333333,-8.33333333333333,3.94407066666667,0,848.643689536136,NA,"snow",0.643049852219287,0,0,3.20321471676071
"15",1021,"0CO","2023-10-13 14:55:00",19.4,17.6,92.57,280,9,0,30.28,NA,10,NA,"CLR","2023-10-13","14:55","2023/10/13 14",-7,-8,4.629996,0,848.737142205394,NA,"snow",0.557353311907428,0,0,3.20321471676071
"16",1022,"0CO","2023-10-13 15:55:00",23,21.2,92.69,270,8,0,30.3,NA,10,NA,"CLR","2023-10-13","15:55","2023/10/13 15",-5.66666666666667,-6.33333333333333,4.115552,0,849.204405551686,NA,"snow",0.621466223535174,0,0,3.20321471676071
"17",1023,"0CO","2023-10-13 16:55:00",23,21.2,92.69,250,9,0,30.31,NA,10,NA,"CLR","2023-10-13","16:55","2023/10/13 16",-5.66666666666667,-6.66666666666667,4.28703333333333,0,849.57821622872,NA,"snow",0.599956368089667,0,0,3.20321471676071
"18",1024,"0CO","2023-10-13 17:55:00",23,21.2,92.69,270,8,0,30.32,NA,10,NA,"CLR","2023-10-13","17:55","2023/10/13 17",-5.66666666666667,-6.33333333333333,NA,0,849.952026905754,NA,"snow",NA,0,0,3.20321471676071
"19",1025,"0CO","2023-10-13 18:55:00",21.2,19.4,92.63,270,10,0,30.33,NA,10,27,"CLR","2023-10-13","18:55","2023/10/13 18",-6,-6.66666666666667,4.45851466666667,0,850.138932244271,NA,"snow",0.578569901353451,0,0,3.20321471676071
"20",1026,"0CO","2023-10-13 19:55:00",21.2,19.4,92.63,280,9,0,30.34,NA,10,18,"CLR","2023-10-13","19:55","2023/10/13 19",-6.66666666666667,-7,4.629996,0,850.512742921305,12.346656,"snow",0.557353311907428,0,0,3.20321471676071
"21",1027,"0CO","2023-10-13 20:55:00",21.2,19.4,92.63,NA,NA,0,30.34,NA,10,NA,"CLR","2023-10-13","20:55","2023/10/13 20",-6,-7,NA,0,850.512742921305,NA,"snow",NA,0,0,3.20321471676071
"22",1028,"0CO","2023-10-13 21:55:00",21.2,19.4,92.63,NA,NA,0,30.34,NA,10,NA,"CLR","2023-10-13","21:55","2023/10/13 21",-6,-7,NA,0,850.606195590563,NA,"snow",NA,0,0,3.20321471676071
"23",1029,"0CO","2023-10-13 22:55:00",21.2,17.6,85.74,290,9,0,30.34,NA,10,25,"CLR","2023-10-13","22:55","2023/10/13 22",-6,-8,NA,0,850.606195590563,NA,"snow",NA,0,0,3.20321471676071
"24",1030,"0CO","2023-10-13 23:55:00",19.4,17.6,92.57,300,17,0.01,30.32,NA,10,30,"CLR","2023-10-13","23:55","2023/10/13 23",-7,-8,NA,0.762,850.23238491353,NA,"snow",NA,NA,NA,3.20321471676071
"25",1031,"0CO","2023-10-14 00:55:00",19.4,17.6,92.57,320,12,0,30.32,NA,10,NA,"CLR","2023-10-14","00:55","2023/10/14 00",-7,-8,6.85925333333333,0,850.045479575013,NA,"snow",0.312576633547681,0,0,3.20321471676071
"26",1032,"0CO","2023-10-14 01:55:00",19.4,15.8,85.63,290,14,0,30.32,NA,10,20,"CLR","2023-10-14","01:55","2023/10/14 01",-7,-8.33333333333333,6.687772,0,850.045479575013,10.28888,"snow",0.328733966915088,0,0,3.20321471676071
"27",1033,"0CO","2023-10-14 02:55:00",19.4,15.8,85.63,300,19,0,30.3,NA,10,27,"CLR","2023-10-14","02:55","2023/10/14 02",-7,-9,9.259992,0,849.765121567237,NA,"snow",0.139987249261078,0,0,3.20321471676071
"28",1034,"0CO","2023-10-14 03:55:00",17.6,15.8,92.5,NA,NA,0,30.31,NA,1.25,NA,"SCT","2023-10-14","03:55","2023/10/14 03",-7.33333333333333,-9,NA,0,849.765121567237,NA,"snow",NA,0,0,3.20321471676071
"29",1035,"0CO","2023-10-14 04:55:00",17.6,15.8,92.5,NA,NA,0,30.32,NA,2,NA,"SCT","2023-10-14","04:55","2023/10/14 04",-8,-9,NA,0,849.858574236496,NA,"snow",NA,0,0,3.20321471676071
"30",1036,"0CO","2023-10-14 05:55:00",17.6,17.6,100,NA,NA,0,30.33,NA,0.25,NA,"OVC","2023-10-14","05:55","2023/10/14 05",-8,-8.33333333333333,NA,0,850.23238491353,NA,"snow",NA,0,0,3.20321471676071
"31",1037,"0CO","2023-10-14 06:55:00",17.6,17.6,100,320,17,0,30.35,NA,NA,NA,"OVC","2023-10-14","06:55","2023/10/14 06",-7.66666666666667,-8,NA,0,850.699648259822,NA,"snow",NA,0,0,3.20321471676071
"32",1038,"0CO","2023-10-14 07:55:00",17.6,15.8,92.5,NA,NA,0,30.35,NA,NA,NA,"","2023-10-14","07:55","2023/10/14 07",-8,-9,NA,0,851.073458936856,NA,"snow",NA,0,0,3.20321471676071
"33",1039,"0CO","2023-10-14 08:55:00",19.4,15.8,85.63,NA,NA,0,30.37,NA,0.25,NA,"OVC","2023-10-14","08:55","2023/10/14 08",-7.66666666666667,-9.33333333333333,NA,0,851.166911606114,NA,"snow",NA,0,0,3.20321471676071
"34",1040,"0CO","2023-10-14 09:55:00",19.4,15.8,85.63,310,21,0,30.38,NA,7,NA,"CLR","2023-10-14","09:55","2023/10/14 09",-7,-9,12.1751746666667,0,851.540722283148,NA,"snow",0.041825319658652,0,0,3.20321471676071
